SA2_MAINCODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EPT_DC_0_4,M_LPLFS_EAW_DC_0_4,M_LPLFS_HNS_DC_0_4,M_LPLFS_EW_T_DC_0_4,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_U_T_DC_0_4,M_LPLFS_T_LF_DC_0_4,M_LPLFS_NLF_DC_0_4,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_T_DC_0_4,F_LPLFS_EFT_DC_0_4,F_LPLFS_EPT_DC_0_4,F_LPLFS_EAW_DC_0_4,F_LPLFS_HNS_DC_0_4,F_LPLFS_EW_T_DC_0_4,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_U_T_DC_0_4,F_LPLFS_T_LF_DC_0_4,F_LPLFS_NLF_DC_0_4,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_T_DC_0_4,T_LPLFS_EFT_DC_0_4
202021028,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,6,0,0,0,6,20,0,22,0
202021029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,32,0
202021030,3,3,0,0,3,0,0,0,8,0,0,8,3,21,0,0,22,0,0,0,25,24,0,47,3
202021031,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,12,0,0,0,12,15,0,25,7
202031032,0,3,0,0,3,0,0,0,3,0,0,3,0,9,0,0,9,0,0,0,5,27,0,37,0
202031033,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,34,0,40,0
203011034,7,0,0,0,7,0,0,0,7,0,0,7,0,5,0,0,5,0,0,0,5,20,0,24,8
203011035,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,9,0,0,3,10,16,0,31,4
203011036,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,5,25,0,27,0
203021037,0,0,0,0,0,0,0,0,0,8,0,12,7,19,4,0,32,0,7,7,38,42,0,73,12
203021038,6,0,0,0,7,0,0,0,7,16,0,27,18,71,13,3,106,10,20,31,137,392,9,537,23
203021039,3,0,0,0,5,0,0,0,5,0,0,4,10,23,0,0,34,0,3,3,35,56,0,93,12
203021040,5,0,0,0,5,0,0,0,5,3,0,8,6,29,7,0,48,0,3,3,47,59,3,112,11
203021041,9,0,0,0,8,0,0,0,8,0,0,11,11,59,7,0,75,5,0,4,83,78,0,156,20
203021042,3,0,0,0,7,0,0,0,7,3,0,7,13,24,0,0,39,0,4,4,49,34,0,80,15
203021043,5,0,0,3,8,0,0,0,8,0,0,14,10,42,5,0,59,0,0,0,61,66,0,130,14
203021044,0,0,0,0,3,3,0,3,4,3,0,4,10,40,6,0,57,0,11,11,66,48,0,112,7
