code,name,total,vulnerable,vulnerable_percentage
21310,Clayton South,146,42,0.29
21311,Dandenong,414,125,0.3
21312,Dandenong North,255,69,0.27
21313,Dingley Village,99,13,0.13
21314,Keysborough,319,70,0.22
21316,Noble Park North,82,16,0.2
21317,Springvale,244,84,0.34
21318,Springvale South,175,52,0.3
21459,Noble Park - East,117,29,0.25
21460,Noble Park - West,216,59,0.27
21319,Ashwood - Chadstone,209,49,0.23
21320,Clayton,143,32,0.22
21321,Glen Waverley - East,275,29,0.11
21322,Glen Waverley - West,223,44,0.2
21323,Mount Waverley - North,170,24,0.14
21324,Mount Waverley - South,224,32,0.14
21325,Mulgrave,237,31,0.13
21326,Oakleigh - Huntingdale,227,39,0.17
21327,Wheelers Hill,205,28,0.14
21328,Ardeer - Albion,95,40,0.42
21329,Cairnlea,153,25,0.16
21330,Deer Park - Derrimut,463,100,0.22
21331,Delahey,76,23,0.3
21332,Keilor Downs,165,35,0.21
21333,Kings Park (Vic.),176,35,0.2
21334,St Albans - North,267,111,0.42
21335,St Albans - South,202,65,0.32
21336,Sunshine,118,31,0.26
21337,Sunshine North,143,20,0.14
21338,Sunshine West,210,70,0.33
21339,Sydenham,120,27,0.23
21340,Taylors Lakes,141,36,0.26
21341,Altona,151,19,0.13
21342,Altona Meadows,195,63,0.32
21343,Altona North,143,35,0.24
21344,Newport,272,29,0.11
21345,Seabrook,106,14,0.13
21346,Williamstown,193,24,0.12
21347,Braybrook,188,39,0.21
21348,Footscray,135,21,0.16
21349,Maribyrnong,117,14,0.12
21350,Seddon - Kingsville,135,23,0.17
21351,West Footscray - Tottenham,144,17,0.12
21352,Yarraville,210,39,0.19
21353,Bacchus Marsh,284,28,0.1
21355,Hillside,316,76,0.24
21356,Melton,294,69,0.23
21357,Melton South,488,104,0.21
21358,Melton West,310,71,0.23
21359,Rockbank - Mount Cottrell,44,10,0.23
21360,Taylors Hill,327,69,0.21
21461,Burnside,81,13,0.16
21462,Burnside Heights,165,21,0.13
21463,Caroline Springs,324,53,0.16
21361,Hoppers Crossing - North,241,64,0.27
21362,Hoppers Crossing - South,286,63,0.22
21363,Laverton,130,52,0.4
21365,Tarneit,868,200,0.23
21366,Truganina,644,151,0.23
21368,Werribee - South,132,34,0.26
21369,Wyndham Vale,474,121,0.26
21464,Point Cook - East,291,75,0.26
21465,Point Cook - North,451,82,0.18
21466,Point Cook - South,457,79,0.17
21467,Werribee - East,288,66,0.23
21468,Werribee - West,169,43,0.25
21370,Carrum Downs,287,69,0.24
21371,Frankston,217,45,0.21
21372,Frankston North,225,53,0.24
21373,Frankston South,236,21,0.09
21374,Langwarrin,298,53,0.18
21375,Seaford (Vic.),194,27,0.14
21376,Skye - Sandhurst,180,36,0.2
21377,Dromana,118,29,0.25
21378,Flinders,52,10,0.19
21379,Hastings - Somers,286,93,0.33
21380,Mornington,233,40,0.17
21381,Mount Eliza,282,19,0.07
21382,Mount Martha,205,19,0.09
21383,Point Nepean,161,20,0.12
21384,Rosebud - McCrae,207,42,0.2
21385,Somerville,210,47,0.22
21386,Ararat,79,28,0.35
21387,Ararat Region,40,7,0.17
21388,Horsham,205,50,0.24
21389,Horsham Region,37,7,0.19
21390,Nhill Region,73,16,0.22
21391/21394,St Arnaud / Yarriambiack,65,17,0.26
21392,Stawell,93,13,0.14
21393,West Wimmera,31,10,0.32
21395,Irymple,89,12,0.13
21396,Merbein,57,8,0.14
21398,Mildura Region,30,5,0.17
21399,Red Cliffs,74,24,0.32
21469,Mildura - North,225,62,0.28
21470,Mildura - South,203,47,0.23
21400,Buloke,52,16,0.31
21401,Gannawarra,69,7,0.1
21402,Kerang,27,5,0.19
21403,Robinvale,54,14,0.26
21404,Swan Hill,166,52,0.31
21405,Swan Hill Region,73,13,0.18
21406,Echuca,189,39,0.21
21407/21410,Kyabram / Rushworth,181,46,0.25
21408,Lockington - Gunbower,46,10,0.22
21409,Rochester,39,6,0.15
21411,Cobram,61,14,0.23
21412,Moira,23,3,0.13
21413,Numurkah,136,26,0.19
21414,Yarrawonga,85,21,0.25
21415,Mooroopna,112,54,0.48
21416,Shepparton - North,223,65,0.29
21417,Shepparton - South,347,115,0.33
21418,Shepparton Region - East,45,7,0.16
21419,Shepparton Region - West,110,18,0.16
21420,Glenelg (Vic.),85,24,0.28
21421,Hamilton (Vic.),98,20,0.2
21422,Portland,103,33,0.32
21423,Southern Grampians,70,18,0.26
21471,Camperdown,45,9,0.2
21472,Colac,167,42,0.25
21473,Colac Region,58,11,0.19
21474,Corangamite - North,63,14,0.22
21475,Corangamite - South,97,20,0.21
21476,Otway,28,6,0.21
21477,Moyne - East,74,8,0.11
21478,Moyne - West,109,18,0.17
21479,Warrnambool - North,209,34,0.16
21480,Warrnambool - South,138,12,0.09
