code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21312,Dandenong North,256,175,58,23,0.09
21313,Dingley Village,99,82,11,6,0.06
21314,Keysborough,319,253,46,20,0.06
21316,Noble Park North,82,67,8,7,0.09
21317,Springvale,246,154,51,41,0.17
21318,Springvale South,175,127,22,26,0.15
21459,Noble Park - East,117,84,20,13,0.11
21460,Noble Park - West,217,164,30,23,0.11
21319,Ashwood - Chadstone,209,150,34,25,0.12
21320,Clayton,143,110,19,14,0.1
21321,Glen Waverley - East,275,238,30,7,0.03
21322,Glen Waverley - West,227,180,31,16,0.07
21323,Mount Waverley - North,170,139,20,11,0.06
21324,Mount Waverley - South,224,180,26,18,0.08
21325,Mulgrave,237,193,32,12,0.05
21326,Oakleigh - Huntingdale,227,183,28,16,0.07
21327,Wheelers Hill,205,166,23,16,0.08
21328,Ardeer - Albion,95,63,17,15,0.16
21329,Cairnlea,154,133,13,8,0.05
21330,Deer Park - Derrimut,463,355,60,48,0.1
21331,Delahey,77,51,13,13,0.17
21332,Keilor Downs,166,130,22,14,0.08
21333,Kings Park (Vic.),182,138,26,18,0.1
21334,St Albans - North,267,171,43,53,0.2
21335,St Albans - South,202,138,35,29,0.14
21336,Sunshine,118,93,17,8,0.07
21337,Sunshine North,151,136,9,6,0.04
21338,Sunshine West,211,154,30,27,0.13
21339,Sydenham,120,93,17,10,0.08
21340,Taylors Lakes,141,101,22,18,0.13
21341,Altona,151,120,25,6,0.04
21342,Altona Meadows,196,129,33,34,0.17
21343,Altona North,144,101,26,17,0.12
21344,Newport,272,232,32,8,0.03
21345,Seabrook,106,89,10,7,0.07
21346,Williamstown,193,153,34,6,0.03
21347,Braybrook,193,153,28,12,0.06
21348,Footscray,136,105,21,10,0.07
21349,Maribyrnong,117,96,17,4,0.03
21350,Seddon - Kingsville,135,94,29,12,0.09
21351,West Footscray - Tottenham,145,128,8,9,0.06
21352,Yarraville,210,169,21,20,0.1
21353,Bacchus Marsh,284,248,26,10,0.04
21355,Hillside,316,233,42,41,0.13
21356,Melton,295,228,39,28,0.09
21357,Melton South,488,375,80,33,0.07
21358,Melton West,311,244,38,29,0.09
21359,Rockbank - Mount Cottrell,44,34,7,3,0.07
21360,Taylors Hill,327,236,54,37,0.11
21461,Burnside,83,69,7,7,0.08
21462,Burnside Heights,166,134,18,14,0.08
21463,Caroline Springs,328,265,36,27,0.08
21361,Hoppers Crossing - North,242,184,42,16,0.07
21362,Hoppers Crossing - South,288,231,35,22,0.08
21363,Laverton,130,77,24,29,0.22
21365,Tarneit,871,680,108,83,0.1
21366,Truganina,649,499,82,68,0.1
21368,Werribee - South,132,93,16,23,0.17
21369,Wyndham Vale,475,328,81,66,0.14
21464,Point Cook - East,291,205,48,38,0.13
21465,Point Cook - North,451,331,74,46,0.1
21466,Point Cook - South,457,373,42,42,0.09
21467,Werribee - East,292,225,45,22,0.08
21468,Werribee - West,169,117,37,15,0.09
21370,Carrum Downs,287,215,39,33,0.11
21371,Frankston,218,167,30,21,0.1
21372,Frankston North,225,164,33,28,0.12
21373,Frankston South,236,201,23,12,0.05
21374,Langwarrin,304,224,53,27,0.09
21375,Seaford (Vic.),194,161,20,13,0.07
21376,Skye - Sandhurst,180,136,29,15,0.08
21377,Dromana,118,72,31,15,0.13
21378,Flinders,52,37,9,6,0.12
21379,Hastings - Somers,286,187,46,53,0.19
21380,Mornington,233,177,38,18,0.08
21381,Mount Eliza,282,238,41,3,0.01
21382,Mount Martha,206,175,20,11,0.05
21383,Point Nepean,169,145,16,8,0.05
21384,Rosebud - McCrae,209,163,33,13,0.06
21385,Somerville,210,146,42,22,0.1
21386,Ararat,79,48,18,13,0.16
21387,Ararat Region,40,30,5,5,0.12
21388,Horsham,205,144,27,34,0.17
21389,Horsham Region,37,29,4,4,0.11
21390,Nhill Region,73,51,15,7,0.1
21391/21394,St Arnaud / Yarriambiack,65,49,11,5,0.08
21392,Stawell,93,66,21,6,0.06
21393,West Wimmera,31,20,7,4,0.13
21395,Irymple,89,72,14,3,0.03
21396,Merbein,57,49,4,4,0.07
21398,Mildura Region,30,26,2,2,0.07
21399,Red Cliffs,74,48,19,7,0.09
21469,Mildura - North,225,163,42,20,0.09
21470,Mildura - South,203,139,41,23,0.11
21400,Buloke,52,36,9,7,0.13
21401,Gannawarra,69,57,8,4,0.06
21402,Kerang,27,22,4,1,0.04
21403,Robinvale,54,42,6,6,0.11
21404,Swan Hill,166,98,37,31,0.19
21405,Swan Hill Region,73,54,15,4,0.05
21406,Echuca,189,136,31,22,0.12
21407/21410,Kyabram / Rushworth,182,128,28,26,0.14
21408,Lockington - Gunbower,46,31,8,7,0.15
21409,Rochester,39,33,4,2,0.05
21411,Cobram,61,51,6,4,0.07
21412,Moira,24,21,2,1,0.04
21413,Numurkah,136,108,20,8,0.06
21414,Yarrawonga,93,69,8,16,0.17
21415,Mooroopna,112,59,22,31,0.28
21416,Shepparton - North,223,158,30,35,0.16
21417,Shepparton - South,347,240,54,53,0.15
21418,Shepparton Region - East,45,34,7,4,0.09
21419,Shepparton Region - West,110,94,9,7,0.06
21420,Glenelg (Vic.),85,58,15,12,0.14
21421,Hamilton (Vic.),98,72,15,11,0.11
21422,Portland,103,72,13,18,0.17
21423,Southern Grampians,70,51,12,7,0.1
21471,Camperdown,45,38,2,5,0.11
21472,Colac,167,119,25,23,0.14
21473,Colac Region,58,36,19,3,0.05
21474,Corangamite - North,63,44,11,8,0.13
21475,Corangamite - South,97,68,20,9,0.09
21476,Otway,28,20,6,2,0.07
21477,Moyne - East,74,68,4,2,0.03
21478,Moyne - West,109,87,12,10,0.09
21479,Warrnambool - North,209,184,9,16,0.08
21480,Warrnambool - South,138,118,14,6,0.04
