code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21069,Bright - Mount Beauty,84,73,2,9,0.11
21070,Chiltern - Indigo Valley,31,29,0,2,0.06
21071,Myrtleford,45,40,2,3,0.07
21072,Towong,58,49,5,4,0.07
21073,West Wodonga,220,168,31,21,0.1
21074,Wodonga,367,291,50,26,0.07
21075,Yackandandah,63,50,10,3,0.05
21076,Drouin,185,158,11,16,0.09
21077,Mount Baw Baw Region,58,45,7,6,0.1
21078,Trafalgar (Vic.),108,94,8,6,0.06
21079,Warragul,205,162,23,20,0.1
21080/21082,Alps - East / Bruthen - Omeo,95,81,9,5,0.05
21081,Bairnsdale,164,127,19,18,0.11
21084,Lakes Entrance,116,87,20,9,0.08
21085,Orbost,56,41,10,5,0.09
21086,Paynesville,47,40,6,1,0.02
21087/21092,Foster / Wilsons Promontory,90,73,10,7,0.08
21088/21091,French Island / Phillip Island,121,100,12,9,0.07
21089,Korumburra,133,105,16,12,0.09
21090,Leongatha,135,118,7,10,0.07
21093,Wonthaggi - Inverloch,242,192,37,13,0.05
21094,Churchill,157,127,15,15,0.1
21095,Moe - Newborough,196,146,37,13,0.07
21096,Morwell,168,103,20,45,0.27
21097,Traralgon,324,266,28,30,0.09
21098,Yallourn North - Glengarry,63,52,5,6,0.1
21100/21103,Longford - Loch Sport / Sale,241,202,23,16,0.07
21101,Maffra,194,135,26,33,0.17
21102,Rosedale,52,40,6,6,0.12
21104,Yarram,48,39,7,2,0.04
21105,Brunswick,162,150,9,3,0.02
21106,Brunswick East,47,43,4,0,0.0
21107,Brunswick West,114,102,9,3,0.03
21108,Coburg,299,274,13,12,0.04
21109,Pascoe Vale South,123,117,3,3,0.02
21110,Alphington - Fairfield,103,94,7,2,0.02
21111,Northcote,270,248,11,11,0.04
21112,Thornbury,183,156,16,11,0.06
21113,Ascot Vale,182,166,10,6,0.03
21114,Essendon - Aberfeldie,290,268,15,7,0.02
21115,Flemington,92,75,9,8,0.09
21116,Moonee Ponds,165,150,14,1,0.01
21117,Carlton,74,52,12,10,0.14
21118,Docklands,61,54,2,5,0.08
21119/21122,East Melbourne / Melbourne,95,73,16,6,0.06
21120/21121,Flemington Racecourse / Kensington (Vic.),121,114,5,2,0.02
21123,North Melbourne,133,117,11,5,0.04
21124,Parkville,33,28,5,0,0.0
21125,South Yarra - West,27,24,2,1,0.04
21126,Southbank,46,41,4,1,0.02
21128,Albert Park,161,152,6,3,0.02
21129,Elwood,136,125,9,2,0.01
21130/21131,Port Melbourne / Port Melbourne Industrial,152,138,12,2,0.01
21132,South Melbourne,79,71,5,3,0.04
21133,St Kilda,111,101,7,3,0.03
21134,St Kilda East,119,108,7,4,0.03
21135,Armadale,70,64,5,1,0.01
21136,Prahran - Windsor,83,73,9,1,0.01
21137,South Yarra - East,116,99,7,10,0.09
21138,Toorak,63,56,7,0,0.0
21139,Abbotsford,31,28,2,1,0.03
21140,Carlton North - Princes Hill,53,50,1,2,0.04
21141,Collingwood,72,46,18,8,0.11
21142,Fitzroy,73,62,4,7,0.1
21143,Fitzroy North,93,88,4,1,0.01
21144,Richmond (Vic.),182,157,13,12,0.07
21145,Yarra - North,96,91,4,1,0.01
21146,Ashburton (Vic.),120,102,13,5,0.04
21147,Balwyn,156,138,16,2,0.01
21148,Balwyn North,246,226,17,3,0.01
21149,Camberwell,244,234,6,4,0.02
21150,Glen Iris - East,202,188,11,3,0.01
21151,Hawthorn,132,128,2,2,0.02
21152,Hawthorn East,157,140,12,5,0.03
21153,Kew,183,170,11,2,0.01
21154,Kew East,56,52,2,2,0.04
21155,Surrey Hills (West) - Canterbury,154,148,4,2,0.01
21156,Bulleen,70,65,4,1,0.01
21157,Doncaster,210,176,17,17,0.08
21159,Templestowe,151,129,14,8,0.05
21160,Templestowe Lower,114,103,8,3,0.03
21424,Doncaster East (North),175,150,13,12,0.07
21425,Doncaster East (South),206,185,16,5,0.02
21161,Blackburn,238,225,8,5,0.02
21162,Blackburn South,132,122,7,3,0.02
21163,Box Hill,174,159,10,5,0.03
21164,Box Hill North,208,193,11,4,0.02
21165,Burwood,81,72,3,6,0.07
21166,Burwood East,100,92,3,5,0.05
21167,Surrey Hills (East) - Mont Albert,115,111,4,0,0.0
21168,Beaumaris,161,151,6,4,0.02
21169,Brighton (Vic.),221,208,8,5,0.02
21170,Brighton East,199,186,6,7,0.04
21171,Cheltenham - Highett (West),184,169,9,6,0.03
21172,Hampton,207,190,10,7,0.03
21173,Sandringham - Black Rock,160,150,10,0,0.0
21174,Bentleigh - McKinnon,279,268,11,0,0.0
21176,Carnegie,163,146,12,5,0.03
21177,Caulfield - North,163,148,12,3,0.02
21178,Caulfield - South,161,145,11,5,0.03
21179,Elsternwick,92,87,5,0,0.0
21180,Hughesdale,88,77,9,2,0.02
